Time (s),Force (N),Position (m)
0,0.7509943037,0.0564235
0.04,0.8067534862,0.051793
0.08,1.147937295,0.0379015
0.12,1.668486306,0.016807
0.16,2.275988448,-0.007546
0.2,2.871013011,-0.030527
0.24,3.336192764,-0.0481915
0.28,3.602511097,-0.056595
0.32,3.584184652,-0.054537
0.36,3.317476395,-0.042532
0.4,2.852686566,-0.022638
0.44,2.226468055,0.0015435
0.48,1.618965913,0.025039
0.52,1.135459716,0.043904
0.56,0.8005146966,0.054537
0.6,0.7509943037,0.05488
0.64,0.9989861922,0.0447615
0.68,1.426733207,0.026068
0.72,2.009670115,0.002401
0.76,2.641737491,-0.0214375
0.8,3.168915216,-0.041503
0.84,3.509709101,-0.053851
0.88,3.627466255,-0.0567665
0.92,3.478515152,-0.0485345
0.96,3.044919272,-0.031556
1,2.480698733,-0.0087465
1.04,1.891523036,0.0156065
1.08,1.308976053,0.0365295
1.12,0.8999454066,0.0509355
1.16,0.763471883,0.055566
1.2,0.874990248,0.049735
1.24,1.222022922,0.034643
1.28,1.79248225,0.0125195
1.32,2.393745603,-0.011662
1.36,2.957966141,-0.033614
1.4,3.385713156,-0.0495635
1.44,3.608749886,-0.056252
1.48,3.552990704,-0.0526505
1.52,3.230913188,-0.0396165
1.56,2.741168201,-0.018865
1.6,2.139514925,0.0053165
1.64,1.507447548,0.0282975
1.68,1.054745375,0.045962
1.72,0.8129922759,0.0543655
1.76,0.782188252,0.052822
1.8,1.054745375,0.0413315
1.84,1.544490362,0.021952
1.88,2.12742727,-0.0015435
1.92,2.722451832,-0.0252105
1.96,3.230913188,-0.0440755
2,3.540513125,-0.0547085
2.04,3.577945862,-0.0553945
2.08,3.391951946,-0.0457905
2.12,2.970443721,-0.028126
2.16,2.362941579,-0.0049735
2.2,1.761678227,0.018865
2.24,1.26569445,0.039102
2.28,0.8812290376,0.051793
2.32,0.7759494623,0.054194
2.36,0.9494657994,0.0468195
2.4,1.333931211,0.0306985
2.44,1.873196591,0.0087465
2.48,2.474459944,-0.015092
2.52,3.038680482,-0.0365295
2.56,3.41651718,-0.050764
2.6,3.577945862,-0.055909
2.64,3.509709101,-0.0505925
2.68,3.131482478,-0.0361865
2.72,2.629259912,-0.015092
2.76,2.052951718,0.0084035
2.8,1.470014811,0.030527
2.84,1.017702561,0.0464765
2.88,0.8067534862,0.0540225
2.92,0.856273879,0.0509355
